CHIPS,Move
15,1
14,2
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,1
14,2
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,1
10,2
8,1
7,3
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,3
12,1
11,1
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,3
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,1
11,1
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,2
13,2
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,1
14,2
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,2
10,1
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,1
14,1
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,1
7,3
4,1
3,3
15,1
14,2
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,1
14,2
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,1
7,3
4,1
3,3
15,1
14,2
12,3
9,1
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,1
14,2
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,2
9,1
8,1
7,3
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,1
14,2
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,1
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,2
6,2
4,1
3,3
15,1
14,1
13,2
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,1
14,2
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,2
6,2
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,1
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,1
11,1
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,2
11,3
8,2
6,2
4,1
3,3
15,1
14,2
12,3
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,2
13,2
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,2
6,2
4,1
3,3
15,1
14,2
12,3
9,1
8,3
5,1
4,1
3,3
15,3
12,2
10,2
8,2
6,2
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,1
14,1
13,1
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,2
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,2
11,3
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,2
10,2
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,1
14,1
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,3
12,2
10,1
9,1
8,3
5,1
4,1
3,3
15,3
12,2
10,3
7,3
4,1
3,3
15,1
14,1
13,1
12,2
10,1
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,1
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,1
14,2
12,2
10,2
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,1
7,3
4,1
3,3
15,1
14,2
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,3
9,2
7,3
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,2
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,1
14,1
13,2
11,3
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,2
6,2
4,1
3,3
15,3
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,1
9,1
8,1
7,3
4,1
3,3
15,3
12,2
10,1
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,2
12,3
9,1
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,1
14,2
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,1
11,2
9,1
8,1
7,3
4,1
3,3
15,1
14,2
12,2
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,1
12,2
10,1
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,1
14,1
13,1
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,2
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,2
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,2
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,1
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,2
10,1
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,3
5,1
4,1
3,3
15,1
14,2
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,2
13,2
11,2
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,2
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,1
14,1
13,1
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,2
6,2
4,1
3,3
15,1
14,1
13,2
11,3
8,2
6,2
4,1
3,3
15,1
14,1
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,1
14,2
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,1
14,2
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,2
6,2
4,1
3,3
15,3
12,3
9,1
8,2
6,2
4,1
3,3
15,1
14,2
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,2
9,1
8,2
6,2
4,1
3,3
15,2
13,3
10,2
8,2
6,2
4,1
3,3
15,3
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,2
10,1
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,2
10,3
7,3
4,1
3,3
15,1
14,2
12,2
10,2
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,2
13,3
10,2
8,1
7,3
4,1
3,3
15,1
14,1
13,3
10,2
8,1
7,3
4,1
3,3
15,1
14,2
12,1
11,3
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,3
10,2
8,2
6,2
4,1
3,3
15,1
14,1
13,2
11,3
8,3
5,1
4,1
3,3
15,3
12,2
10,1
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,1
14,2
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,1
10,2
8,2
6,2
4,1
3,3
15,3
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,2
12,1
11,3
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,1
14,2
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,1
7,3
4,1
3,3
15,1
14,2
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,2
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,3
5,1
4,1
3,3
15,3
12,1
11,1
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,2
6,2
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,1
14,1
13,2
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,2
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,3
5,1
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,2
10,2
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,1
7,3
4,1
3,3
15,3
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,3
12,2
10,2
8,1
7,3
4,1
3,3
15,1
14,2
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,2
6,2
4,1
3,3
15,3
12,1
11,1
10,2
8,3
5,1
4,1
3,3
15,1
14,2
12,2
10,2
8,2
6,2
4,1
3,3
15,2
13,1
12,3
9,1
8,1
7,3
4,1
3,3
15,2
13,1
12,1
11,3
8,1
7,3
4,1
3,3
15,1
14,1
13,2
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,3
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,1
11,2
9,1
8,3
5,1
4,1
3,3
15,1
14,1
13,2
11,3
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,1
11,3
8,2
6,2
4,1
3,3
15,1
14,1
13,3
10,2
8,3
5,1
4,1
3,3
15,3
12,2
10,1
9,1
8,2
6,2
4,1
3,3
15,1
14,1
13,2
11,3
8,2
6,2
4,1
3,3
15,2
13,1
12,2
10,2
8,1
7,3
4,1
3,3
15,3
12,1
11,3
8,1
7,3
4,1
3,3
15,2
13,1
12,2
10,2
8,1
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,2
6,2
4,1
3,3
15,3
12,3
9,2
7,3
4,1
3,3
15,2
13,1
12,3
9,1
8,3
5,1
4,1
3,3
15,2
13,1
12,1
11,3
